cf_path,oct_path,cf_pts_path,oct_pts_path
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/067/067_02.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/067/067_01.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/067/067_02.txt,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/067/067_01.txt
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/188/188_02.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/188/188_01.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/188/188_02.txt,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/188/188_01.txt
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/102/102_02.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/102/102_01.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/102/102_02.txt,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/102/102_01.txt
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/194/194_02.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/194/194_01.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/194/194_02.txt,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/194/194_01.txt
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/112/112_02.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/112/112_01.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/112/112_02.txt,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/112/112_01.txt
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/122/122_02.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/122/122_01.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/122/122_02.txt,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/122/122_01.txt
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/014/014_02.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/014/014_01.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/014/014_02.txt,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/014/014_01.txt
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/003/003_02.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/003/003_01.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/003/003_02.txt,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/003/003_01.txt
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/065/065_02.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/065/065_01.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/065/065_02.txt,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/065/065_01.txt
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/045/045_02.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/045/045_01.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/045/045_02.txt,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/045/045_01.txt
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/137/137_02.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/137/137_01.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/137/137_02.txt,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/137/137_01.txt
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/171/171_02.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/171/171_01.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/171/171_02.txt,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/171/171_01.txt
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/129/129_02.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/129/129_01.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/129/129_02.txt,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/129/129_01.txt
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/077/077_02.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/077/077_01.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/077/077_02.txt,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/077/077_01.txt
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/159/159_02.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/159/159_01.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/159/159_02.txt,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/159/159_01.txt
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/168/168_02.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/168/168_01.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/168/168_02.txt,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/168/168_01.txt
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/046/046_02.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/046/046_01.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/046/046_02.txt,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/046/046_01.txt
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/131/131_02.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/131/131_01.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/131/131_02.txt,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCT_augmented/131/131_01.txt
