cond_path,target_path
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/seg_trainA/pre00Fundus_fake_B.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/trainB/00OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/seg_trainA/pre01Fundus_fake_B.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/trainB/01OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/seg_trainA/pre02Fundus_fake_B.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/trainB/02OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/seg_trainA/pre03Fundus_fake_B.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/trainB/03OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/seg_trainA/pre04Fundus_fake_B.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/trainB/04OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/seg_trainA/pre05Fundus_fake_B.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/trainB/05OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/seg_trainA/pre06Fundus_fake_B.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/trainB/06OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/seg_trainA/pre07Fundus_fake_B.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/trainB/07OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/seg_trainA/pre08Fundus_fake_B.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/trainB/08OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/seg_trainA/pre09Fundus_fake_B.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/trainB/09OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/seg_trainA/pre10Fundus_fake_B.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/trainB/10OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/seg_trainA/pre11Fundus_fake_B.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/trainB/11OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/seg_trainA/pre12Fundus_fake_B.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/trainB/12OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/seg_trainA/pre13Fundus_fake_B.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_seg/trainB/13OCTA.png
