cf_path,octa_path
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_v2/CF_train/000Fundus.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_v2/OCTA_train/000OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_v2/CF_train/001Fundus.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_v2/OCTA_train/001OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_v2/CF_train/002Fundus.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_v2/OCTA_train/002OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_v2/CF_train/003Fundus.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_v2/OCTA_train/003OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_v2/CF_train/004Fundus.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_v2/OCTA_train/004OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_v2/CF_train/005Fundus.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_v2/OCTA_train/005OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_v2/CF_train/006Fundus.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_v2/OCTA_train/006OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_v2/CF_train/007Fundus.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_v2/OCTA_train/007OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_v2/CF_train/008Fundus.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_v2/OCTA_train/008OCTA.png
/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_v2/CF_train/009Fundus.png,/data/student/Fengjunming/SDXL_ControlNet/data/CF_OCTA_v2/OCTA_train/009OCTA.png
